A,B,C,D
6.251695663804048,7.39915784898239,8.189587780731804,7.731906004647126
5.798251858450737,8.5083473003691,7.2064798029295,6.541019758409955
8.289497315047331,5.473487885930248,5.575839668406396,5.2431614199363965
9.301144279276654,9.760401347797503,7.502936242708597,5.1613161431642665
7.726842743424929,8.233964714604603,8.799094439755377,7.654457313372693
7.2582989094228365,7.228691455503576,7.803699622617433,8.545728758896495
5.730703967937961,7.388857573120501,7.191742847754848,9.352540224745113
7.051966903831187,7.141085173728425,6.508406780719494,5.001866659184258
6.30952878971747,5.991520288193998,8.607509240431394,5.206749289197237
8.913668554314599,7.890583199343675,7.570044268152812,5.16852666136272
9.021947047016946,9.23169506778885,8.722242536354544,6.313511927054816
9.891079353976403,8.13766021799512,8.100655055457601,7.734069923526795
5.486621366653361,5.933011988891986,8.085946783628236,6.3830016051938685
7.165262905472564,5.4496960132584205,5.411241091465386,5.655175911025376
9.747311296941874,7.11071704961713,6.114039131790167,5.8119140542765075
6.0858988193296595,8.295396520538077,7.721466537504038,5.276569907939325
7.72355367035869,7.8196398740186694,8.966371542194176,9.939660058624437
7.712270369328709,6.175798750559856,9.158103709154057,5.150882031070675
9.227244354071711,7.683535328137744,6.7480925628201485,5.294085955201566
9.437033200255772,9.457982064762492,5.49326215527282,5.813962856023006
8.888211553771965,7.971245560608483,7.240125323033803,7.435653854839001
7.984638826451771,9.212585547710226,8.445744265000995,8.034467888954921
7.9854892030300135,6.716251937965025,6.239839240713337,6.4713889084841565
9.574401629650056,8.940675040802656,7.376538411362585,8.805378429870764
9.329537473841988,6.859950306789916,8.807120356910948,9.260838997744857
5.794084794838621,7.332862818541383,5.647919573402151,5.389354696925259
5.308707452292915,5.872345208613264,8.752771087203664,5.662267910182134
6.361967771069283,7.494331602536819,7.860302251741368,9.060354375511602
5.4662794561409775,9.021249712102025,6.4830278568563955,6.791049779430612
9.072425189092703,5.5707079019439885,8.556353743804129,7.2810479896767335
7.389147362244109,8.956814762345378,5.673216863521117,5.739385627906566
7.066857645247717,8.33654766435595,5.027340670448291,8.883576253179921
9.32525135754052,8.310101041982284,5.4645945527333435,9.784885431740824
7.816394873387124,8.433886634712136,5.418778546914475,5.1986564383561245
5.517404685815446,6.4003314942595555,6.735961808072275,6.576709331260907
8.525575870076569,8.104672384812059,7.736557476184363,8.589163540140374
7.112621618650103,6.803701983074967,6.028222860549578,5.558985958630639
7.062315802975966,5.931460767500345,8.155618143116733,8.220487600618743
7.3358015539446235,9.847944045289545,6.555922709488502,9.07069517856524
8.173799205664386,9.864938950699162,7.666082951870242,6.181774535847653
6.261191222095591,7.6937384819231625,8.106319215108867,7.520780013964775
5.5513878018377705,5.078914943630574,9.661671410115167,7.001107033344342
5.221146835772855,7.824384219947026,9.911889704248722,5.828195066055045
9.89967288135504,7.838282917230362,7.750695442822579,7.246682391956506
7.2431526484617805,8.643673040677305,7.323344890564826,6.716498956962472
8.736926739901396,5.118143570757936,5.436763846696682,7.142337851003024
8.949695656256566,8.441340339392294,9.507302820743334,8.38660743929055
9.775845625852067,6.412898477626012,6.74525695630729,5.485081147264292
6.753747119250111,7.535079096176191,5.278501523617974,5.062150444115173
8.591968450317994,6.823030070133134,8.081719089788029,9.340064087639211
6.476467349145555,6.558725056781142,6.513021515999698,6.566859160871407
8.94034856440967,8.349428222267333,5.78716636548748,8.20719911517406
6.2310755884258215,6.301435495378792,5.61895595342265,8.914484834700378
9.85096629815182,8.908162543464387,9.388246518831643,8.783674751496998
8.412102802598959,6.722960645907582,8.772268498769634,8.954678311107447
9.202528357478446,7.249225175792221,9.497136693746963,7.2486923522521245
8.712085369668156,8.847566440771125,9.497567008845442,7.341504087544635
5.119643080755957,7.247974346643606,5.075865396984963,7.025378457183285
5.293539000824119,5.342625265877016,8.757863290119477,5.428086750919992
9.703513053677483,7.330475490435832,8.811292729656003,5.043691786695332
8.694530349946051,8.141383983798388,8.90811456931052,5.260216578542912
8.576565573245476,9.651148912455405,8.214216162286407,8.149499304700766
7.8867817945994565,9.429746902004139,9.433027522382972,8.139724154266027
8.399249966635246,5.483519698206428,8.063611017461708,7.581809492146092
6.2606977226746015,5.937449485011818,7.8137233605594965,9.738594728802678
6.418245417920101,8.857210883999107,9.09300318181137,5.323116248806972
7.426127383585301,5.112749361584295,6.183834116378677,8.171239561186482
9.175352447564944,7.180715009811419,8.63875812139431,5.8894687143574185
8.803777599155126,8.610868234393084,5.5673634268126015,9.099609068966735
6.722244523591679,5.7287237950014465,5.71352652931217,6.711226089151401
5.534171099813151,6.1854963659818925,7.0495173259059705,7.590833848574164
6.149188500044262,5.167844951943168,5.910656033253847,5.757644409948267
7.783966591024582,8.89061017120339,9.697836378470775,8.787401741024132
9.672808403540984,6.946635655697883,5.873914615416209,5.558299335733189
5.40818616875286,5.321204153796282,6.28878140788364,6.170240142401467
8.34630473653215,9.784800200808412,7.132946807192911,6.131167600415545
6.747265450798149,8.422747739694431,5.518898201560573,9.780432632045578
7.634023238977365,7.948443062320819,8.812058048028113,6.081138552136699
9.91990498940569,6.772136894558221,7.758495083614258,6.135612345076456
7.4344354541451905,5.143727175319693,8.310811937791865,9.43523698707165
9.16799941534761,7.356326144916874,7.027540515492835,9.216753861484163
6.025958970780087,9.544438957783896,6.015104739521807,5.283289371282463
6.116608656790278,9.059477298645655,7.691450075395644,8.949999677546785
5.80575325756655,5.844640835575553,5.499711813298339,6.3188646777596
6.690329042593158,6.989179182360731,9.439890615005972,5.053723960318378
8.599536132961948,6.658059758093669,6.439259089205557,6.845538766256723
8.85387777247222,5.405537393820322,8.285798516311958,7.150170192282108
7.492402533295702,9.87131923740128,5.428845887772108,9.952412445955497
5.258703888367521,7.279850011118413,6.545473784712847,8.754236821351743
5.03217360456083,9.645277521096618,9.355880604221426,8.574608834701728
5.227609042956977,8.205818283015356,7.2399038021484525,5.139202965205271
5.430744581599483,7.9859340461310016,8.629092860916801,7.856344711848828
8.483398080140054,5.267811569023289,6.935629920230851,9.106645256256595
5.478405709028841,5.221394936762257,9.464411693441638,9.090499368503096
6.650218425835604,9.108787196757564,9.220540061869603,6.7228626176963635
5.253794387933566,9.303713286189396,7.895514056651024,8.346181397094801
7.694711741464352,5.1675674298491305,7.137262564721977,9.133985532028102
5.88254315964054,6.386816836110883,8.79590051531582,5.692391840022047
9.171581488590329,9.103280913261065,7.513334449395607,6.268729639379738
8.500701603400028,9.147064661477064,9.08343283612127,5.004477908627901
9.282185195280157,6.243382335476926,6.950417133766394,9.04906398659972
5.891953946136289,7.708648163663744,7.571457279674662,8.826103666611
6.584531598345415,8.791220205428855,8.240277951332173,9.164814859198831
5.089299793265661,8.641159832091164,8.888714152322592,8.792166557237971
8.438089337689577,5.342196975682951,7.4065909178611,9.222266795462936
9.172685463348287,8.809948472558776,6.124921729500927,8.85128119538754
6.6446831013894485,8.173345338159182,7.190100742596283,9.199858093088393
7.318607606036643,6.849921641118578,8.25905906503424,6.591946888307309
6.201659192743939,9.363393279709173,8.769883521214195,8.608136676598656
7.602598886624882,8.464230373520367,5.971563532072165,5.746832634388289
9.035986094913909,7.811496054298547,6.891168765904817,8.591816801024654
9.439540300439791,6.125538206033848,8.102914118496297,6.839760817408597
6.777001577767738,5.293057690047375,7.442740539915295,6.16654751828054
5.826113880407747,6.050418641748152,8.334372444234049,6.796458656889486
5.320125048001848,7.457151620912456,7.303830758773444,8.962632355485068
6.182377454596252,6.80824213957677,6.773614127705267,7.289260929783383
6.655373096667174,7.8071627221472,7.5159963809806944,7.181061401523063
7.83956826603653,8.069143609023744,7.311753590903042,8.531708735004916
8.881788309574613,9.306042280358534,6.124168819174185,5.004985578452288
7.348361784356663,5.103201697248364,7.7655155319002045,7.282942692327239
6.721192063760514,7.480289258779885,8.735856432884072,7.857263682489118
8.044803578201888,7.042292690518396,7.492305207239615,9.45542139310809
6.300083155652912,8.939272958192102,7.922454772050963,9.825525636728052
7.335188680976375,5.281568701044803,6.659768881239645,9.989056154541997
9.814138410118344,5.213328861145492,7.117551460139839,9.587900882460639
9.73992765873759,7.042688222136283,7.194937910263992,8.491206565253012
6.715093194110286,7.267741247173057,9.792443253258995,5.767789937572711
6.666974797680653,7.794169734245332,7.367296345915365,6.868332383921651
6.0644256186821766,7.965633574747246,5.77146627064894,7.506979522044858
9.675877795774698,8.22241324622032,9.377226396569634,7.503796275364113
7.369555443422816,8.36555159607682,8.44837211374331,8.593815556748776
8.04400148149729,7.498967769321287,5.598354653996384,7.100382905432299
5.351873088559907,9.074147953909092,6.394272981412207,7.241291017172743
5.136748192539901,6.126611365018677,6.088348954531574,8.484014558827727
7.483802637409946,5.337739162778845,5.605543636010614,5.050495694797604
7.970464443836783,9.60526718378235,6.624446087556221,7.378196797502358
9.453218786409906,6.077282116975243,7.665401192265391,9.633888645252197
8.906674811109925,5.302686640049834,5.040999882706772,9.927323302098745
6.597198236124809,9.968252742325781,9.933202192989102,5.863208353834343
5.135420290401727,7.477356774287912,6.553578413199964,7.347725381174178
6.94084074793644,6.197718023035563,9.965752236315257,6.562144843889753
6.112688342691534,7.471463367048587,7.664911381087966,7.765245780300464
8.814553888181813,7.830177627412325,7.064367131622344,7.470783409518611
6.156606550591869,9.997351959251056,5.410936273413738,5.585155157404765
6.97651182871861,7.17046148080582,7.069006127634429,8.777050224103526
6.100186740846923,9.12202977164887,9.944002523626637,7.573407619134657
6.313340587537628,7.894913846456585,8.29148578163114,8.584492381432419
9.03922432012131,7.866941386396692,5.682786853913563,7.493409143377617
6.0194501278161905,6.773665045104909,8.758401957587195,8.043618845586025
5.627620352742271,5.764009212855145,8.116274941212094,8.260344453529328
9.357590763164952,8.490668648630338,7.2665149945206196,7.36218692986622
7.34445882684845,9.951495932227106,9.37039127955091,8.114661021522874
5.222985090202651,5.509843445423631,9.896680224929733,7.33826142348329
6.201990249288146,8.790095754187474,9.258148208619481,8.7533859129484
5.943661497385476,7.154627732734341,6.816720318702691,5.5827138025689464
6.937955783278288,7.687607415523874,9.208701185401754,7.565324112017623
5.600209305994984,9.997172078917295,5.331558213032656,8.483779963168388
6.1349241881390375,6.717469457756602,8.888085046691248,7.492398237858058
6.076040417236957,6.16131022969257,6.149057226014422,5.282587717886625
9.141817542005466,8.757759856140868,9.076145061017163,9.268349002371686
6.940941406615934,8.284375831950674,9.371860529501951,6.252131660160676
9.053456478299895,6.6171305066481505,7.098509838843579,7.424895499548489
9.362171451177145,6.347330792370904,9.173178651422862,6.958984399835056
8.910908250628935,9.042116962591416,6.778913173008354,8.234578361777347
7.628878734398673,5.604271924231025,8.283609057995516,6.539146824182901
8.401725709837674,8.068757369082608,6.9343970556822185,7.950429728583936
9.319852706951941,9.488281229231125,6.254098122217769,8.708411806004845
9.68082231656455,5.404879768458701,9.859840113326271,5.664882833210549
5.7306786800800475,7.192817781978621,8.041493965387161,6.78580501911277
7.55783134442815,7.033514618362066,7.700817581645463,6.333252948284293
7.626082455788018,7.526655566194551,8.613977221086339,9.06412402832636
9.43369740153856,5.588565766721506,6.930381121655847,8.09143530158979
7.763589426438165,9.944359676357383,5.405791060319291,6.589359387810433
5.84592632159317,8.53898460639126,7.696371015138296,6.542262766528318
9.506608552798527,5.956914216937955,9.539487585025658,6.900316698552672
8.133667962452572,5.143483244219596,5.938866863654827,8.513198398781489
6.449135093087691,6.481985041784657,5.781029851920287,8.730999381128116
9.487881201727811,6.570986340742962,5.545752114512194,9.007077278093131
6.915238079046603,5.784478908260539,6.831971357982209,7.224750572299116
9.734307496386414,5.815715437075805,7.220857848446713,9.145732645994604
9.149825776271637,6.241360172146373,7.520231815287321,7.140824219422699
7.856452813143972,6.565276737001322,9.516203175016784,6.597751484244455
6.649908736305346,9.468944073276319,9.514322969636732,8.212553524212902
9.073421034320317,8.71119541394634,5.0156758202383385,7.640842908189514
8.105599799082922,7.970163749246128,9.29056589184769,5.040836231935676
6.971516549458252,6.422405102238219,8.705435431707153,6.638305514696249
6.012422914753225,5.251037205617497,9.867611588228682,7.634162686577048
8.658144414166085,7.367515391532423,5.74398793151926,6.002106933920205
6.219152137416987,8.076674899150985,6.690135832548873,6.258360477138178
5.934771683732363,7.515636241616591,8.479108024880968,9.756195880504384
6.672263918854499,6.327993364910951,5.6983439603816075,5.922216586907721
6.803715463020544,6.534099587743953,6.338651085052156,5.648574514236096
5.6263771995880045,5.208273949334965,8.525284679941311,7.193931110702731
5.7221677019723325,8.682514534032258,8.93250812881656,6.333643807294332
9.663929035579052,6.521759439893345,5.106659749431557,8.003700022854837
8.39197259148421,9.521638109869752,9.23646191508295,9.829894927889367
9.376148070834596,7.678957919556381,5.5900279031414914,7.8723176503686645
7.475331277365559,9.04654062715198,9.87802823338103,6.040333561695728
5.8336897153798075,9.244316109477744,6.789825780524231,8.032407790436324
8.016968519981102,7.29123257975263,5.413757239643132,5.741756602351708
7.922176410869142,8.18513266560514,9.35225261842043,6.725291074755971
7.015521089875544,9.774435481962412,5.97407766559066,6.677727399742273
5.118997510706182,8.50403146272163,5.355657631039415,9.431740641022392
6.983662908714879,5.065504304295552,7.915167434662766,9.310190520866957
7.358114271651562,6.555949342142204,5.560051490780733,8.513619163935187
8.027632414114665,9.140670203181095,5.0346143490506865,8.383556552926562
8.323676053512804,6.017045810829856,7.559122760411329,8.557369320171007
7.091232096287614,6.996502720870705,9.433412377025935,5.738217726238842
7.364428192570722,9.88357277124019,6.425360896437889,8.484566980297826
6.778603854005106,5.611045356676302,9.102889605850313,9.761491790645229
5.607504275936507,8.478456061437319,9.381069468067718,7.342591922744318
7.183219593612654,9.730041842073256,7.655832767746503,9.214639343427503
8.347163585432543,8.276555887243173,7.052586052864668,6.340912065142854
7.370698994026129,9.377434341232574,9.982090848873975,6.053157131365267
5.411042269322367,9.644443551195646,7.485017762438993,5.812211549612521
9.038899076221487,8.247243982926138,6.791200192174616,8.364565186882547
9.27290387507251,8.023440454089949,8.46389554254746,7.661556786032619
6.404129934201837,9.612679508098141,6.346205831048182,7.28715337618604
8.327942323483803,6.560533404228799,7.999942560628849,8.896134115391114
8.258494889314628,9.702241547198986,8.678089994309294,6.527610551119041
9.94187178213328,5.234127521283101,5.7793998966743185,9.465151646305243
8.356357675577607,5.652824952400523,9.28751242786736,5.6069958691498805
9.453974942456785,6.162710675984226,8.898549576693465,5.554435909483104
5.471514749529637,6.859710886971873,7.7981895093829126,5.483737555403898
7.756301034893445,9.850297346592754,7.421329132232382,8.762988465010123
6.167950147940802,5.208135429967947,5.576319734476794,7.834152545130521
5.384694616251295,9.901631611689224,8.5899098133891,9.246913597950499
6.773280696484986,6.70455357446989,7.53720300273249,9.712738108534932
6.861094210241777,8.724690351730946,8.25332714224153,9.847162916420643
9.23780652175336,6.330221179950905,7.972627225894861,7.476252924040688
8.222139576620807,9.002218023638612,5.6442533025005375,7.302822529283899
7.055086632134422,7.8711749148592185,6.777542963007956,9.076057687014442
9.394618602749041,9.21948263509726,9.22197009198792,7.148049132515538
8.500058928314068,9.96641132066376,6.166359687900817,8.928684034176257
9.281500398730293,6.486630664372337,8.934529810650437,9.150383659896665
9.603239851590274,9.835063319872356,8.352211698825277,6.78190938900566
8.125982308426394,5.579909190405268,5.947849896027159,7.8770718933074395
5.784987947193764,7.516627360002752,7.044960065264197,8.723269648243999
5.199692719035813,8.02784536186904,7.700052955158377,6.193652961166823
8.520293046251874,7.842409135425797,7.485718538998494,9.510439725769336
9.350227119825329,6.182003363043294,9.607515207196444,5.130396213620406
6.346156546308565,6.468323607314609,6.251891757564675,7.02131074309377
5.563637233862288,6.882036770311097,8.638902018542652,5.805342924767169
5.412439481897456,6.7357902241734235,7.052807393524484,6.972226252181307
6.623414859812956,8.158211887595344,5.831582022523377,7.669620019620527
9.065339487742113,6.7643293527322355,9.86402029834153,7.387059554233701
9.818945009897854,6.861080092795255,8.88685395386183,9.149188030123915
7.4390641089807685,8.800105838295723,5.199151570208796,6.312256212634416
8.80084553258406,9.922840565710093,6.4850300524965165,8.483583430126536
6.853397391768149,7.632579626793877,6.819775460394611,7.398681114761886
8.77807767857965,5.073892356589388,8.811436922841551,5.643430413440829
7.504696625564472,7.299006043692418,9.759120943388739,9.088753988490875
8.85830517391459,5.03481935413658,8.363098266550416,6.3667179425608635
6.5842437983721736,6.027959093259299,5.1825128432901355,9.717347356002525
5.001722792703388,7.071464444523458,6.221925695257688,9.421843179348903
7.83893861862554,6.881700792914735,9.92499100716866,6.501401194428316
8.72181788164827,7.94900605605867,8.909893322355368,6.496178147795765
